50,7/3/1980,Harbhajan,,Singh,1000000,India,Right-hand bat,Right-arm offbreak,Bowl
57,4/30/1987,Rohit,G, Sharma,3000000,India,Right-hand bat,Right-arm offbreak,Bat
81,2/12/1984,R,Vinay, Kumar,9000000,India,Right-hand bat,Right-arm medium,Bowl
208,9/23/1985,Ambati,T,Rayudu,3000000,India,Right-hand bat,Right-arm offbreak,Bat
221,5/12/1987,Kieron,A,Pollard,2000000,West Indies,Right-hand bat,Right-arm medium-fast,All Rounder
375,12/6/1993,Jasprit,J, Bumrah,1000000,India,Right-hand bat,Right-arm medium,Bowl
383,1/25/1985,LM,P, Simmons,7000000,West Indies,Right-hand bat,Right-arm medium-fast,All Rounder
388,9/4/1993,S,, Gopal,2000000,India,Right-hand bat,Legbreak,All Rounder
400,10/11/1993,Hardik,H, Pandya,9000000,India,Right-hand bat,Right-arm medium-fast,All Rounder
403,6/11/1986,Mitchell,J, McClenaghan,3000000,New Zealand,Left-hand bat,Left-arm fast-medium,Bowl
407,9/8/1990,Jose,C, Buttler,1000000,England,Right-hand bat,N/A,Wk
20,7/7/1981,Mahendra ,Singh,Dhoni,3000000,India,Right-hand bat,Right-arm medium,Wk
61,12/6/1985,Rudra,Prakash,Singh,2000000,India,Right-hand bat,Left-arm fast-medium,Bowl
84,9/2/1988,Ishant,,Sharma,4000000,India,Right-hand bat,Right-arm fast-medium,Bowl
85,6/6/1988,Ajinkya,M, Rahane,3000000,India,Right-hand bat,Right-arm medium,Bat
89,10/22/1979,Rajat,,Bhatia,7000000,India,Right-hand bat,Right-arm medium-fast,All Rounder
158,6/27/1980,Kevin,,Pietersen,2000000,South Africa,Right-hand bat,Right-arm offbreak,Bat
201,9/17/1986,Ravichandran,,Ashwin,4000000,India,Right-hand bat,Right-arm offbreak,All Rounder
253,10/20/1991,Mitchell,, Marsh,1000000,Australia,Right-hand bat,Right-arm medium,Bat
303,7/13/1984,Faf,du,Plessis,2000000,South Africa,Right-hand bat,Legbreak,Bat
306,6/2/1989,Steve,PD, Smith,2000000,India,Right-hand bat,Legbreak googly,Bat
418,9/8/1990,Murughan,,Ashwin,4000000,India,Right-hand bat,Legbreak googly,Bowl
15,10/7/1978,Zaheer,, Khan,7000000,India,Right-hand bat,Left-arm fast-medium,Bowl
136,11/24/1982,Amit,, Mishra,2000000,India,Right-hand bat,Legbreak,Bowl
260,2/16/1991,Mayank,, Agarwal,1000000,India,Right-hand bat,N/A,Bat
322,1/6/1993,Pavan,, Negi,4000000,India,Left-hand bat,Slow left-arm orthodox,All Rounder
339,12/6/1991,Karun,K, Nair,5000000,India,Right-hand bat,Right-arm offbreak,Bat
350,4/30/1987,Chris,H, Morris,8000000,South Africa,Right-hand bat,Right-arm fast-medium,All Rounder
351,11/11/1994,Sanju,V,Samson,1000000,India,Right-hand bat,N/A,Bat
355,12/17/1992,Quinton,de, Kock,8000000,South Africa,Left-hand bat,N/A,Wk
371,10/11/1987,Nathan,M,Coulter-Nile,7000000,Australia,Right-hand bat,Right-arm fast,All Rounder
393,12/6/1994,Shreyas,S, Iyer,2000000,India,Right-hand bat,Legbreak googly,Bat
408,7/18/1988,Carlos,R,Morgan,9000000,West Indies,Right-hand bat,Right-arm fast-medium,All Rounder
31,11/17/1982,Yusuf,K, Pathan,6000000,India,Right-hand bat,Right-arm offbreak,All Rounder
40,10/14/1981,Gautam,, Gambhir,8000000,India,Left-hand bat,Legbreak,Bat
46,11/11/1985,Robin,V, Uthappa,1000000,India,Right-hand bat,Right-arm medium,Wk
67,12/24/1988,Piyush,P, Chawla,2000000,India,Left-hand bat,Legbreak,Bowl
96,9/10/1989,Manish,K, Pandey,8000000,India,Right-hand bat,Right-arm medium,Bat
232,10/25/1987,Umesh,T, Yadav,8000000,India,Right-hand bat,Right-arm fast-medium,Bowl
308,9/14/1990,Suryakumar,A, Yadav,6000000,India,Right-hand bat,Right-arm offbreak,Bat
316,2/6/1971,G B,, Hogg,9000000,Australia,Left-hand bat,Slow left-arm chinaman,Bowl
334,4/29/1988,Andre,D,Russell,3000000,West Indies,Right-hand bat,Right-arm fast,All Rounder
411,3/11/1987,Colin,, Munro,1000000,New Zealand,Left-hand bat,Right-arm medium-fast,Bat
457,11/4/1985,John,W, Hastings,5000000,Australia,Right-hand bat,Right-arm fast-medium,Bat
2,9/27/1981,Brendon,B, McCullum,6000000,New Zealand,Right-hand bat,Right-arm medium,Wk
14,10/2/1986,Praveen,, Kumar,2000000,India,Right-hand bat,Right-arm medium,Bowl
21,11/27/1986,Suresh,K, Raina,4000000,India,Left-hand bat,Right-arm offbreak,Bat
